title;body;created_on;ticket_status
approver;tuesday july pm re approver hello please bellow thanks best regards engineer tuesday july pm re approver hi please myself also head cannot contracts approve urgently thanks july pm re approver thank future opportunities contracts assigned head let further assistance needed july pm re approver hello added head please further assistance thanks best regards engineer friday pm approver hi please let possible approvals myself same approve thanks officer;26/12/2022 08:00;Resolved
internal ad;wednesday pm dear attaching transfer form he has changed discipline job position st other job details remain same thank regards administrator;26/12/2022 08:30;Closed
accessing from outside network;accessing hello noticed application resolve public application build please advice regards;26/12/2022 09:00;Closed
please move oracle;please move hi please kind help move october follows moved moved profit loss moved trading thank officer;26/12/2022 09:30;Closed
permissions;permissions hi cannot permanent links for locations for following cities example could you please give rights again thank you communication specialist;26/12/2022 10:00;Resolved
account;february pm resources hi please resources she member confluence regards;26/12/2022 10:30;Resolved
access;dear wanted ask allow certain folders colleague since lot folders files she supposed same right links folders issue folders certain files she please advise how proceed thanks;26/12/2022 11:00;Resolved
new starter;december urgent starter form induction dear due mistakes credentials starter please create provide urgently thanks head testing december re starter form induction hi somehow missed starter form mailbox deleted by mistake since credentials created possible thanks head testing december starter form induction tuesday november pm starter form induction hi please assist completion attached return form thanks;26/12/2022 11:30;Closed
hardware internal;re moving testing analysis starting hi considering please help completion attached form thank lead friday december pm moving testing analysis starting hello please note moving analysis discipline starting st please find attached his his please let required thank help head analysis architecture;26/12/2022 12:00;Closed
backpack allocation;friday march pm backpack allocation dear please log assign providing backpack thanks kind regards engineer;26/12/2022 12:30;Closed
updates to for epics;updates epics hello please update temp epic epics also find attached excel file more explicit thank;26/12/2022 13:00;Closed
new starter request summary local;starter summary hello please ask starter requests area down starter form profile summary changed starts please find example summary permanent starter date possible change starter date format going forward final format summary must please let questions thanks kind regards;26/12/2022 13:30;Closed
urgent request socket migration;urgent la la tip ca se si fie care senior tester;26/12/2022 14:00;Resolved
new project oracle and pas notes;thursday hello please kind help out by providing details regarding how fill setup form she fill details creation please attached form let helps further details needed after confirms details please proceed usual assign appropriate thank best regards leader ext;26/12/2022 14:30;Resolved
new job title;senior;26/12/2022 15:00;Closed
leaver form to complete;re leaver form complete hi please assist more thank lead tuesday november pm re leaver form complete hi tried multiple times let submit due approver approver gave her approver thanks tuesday november leaver form complete hi please help completing leaver form thank lead;26/12/2022 15:30;Closed
reset for;mistake booking;26/12/2022 16:00;Closed
not reachable from outside;wednesday pm reachable hello observed infrastructure reaching by somebody everything well receive well thanks consultant;26/12/2022 16:30;Closed
password change;friday change hi please change seems locked thanks design lead;26/12/2022 17:00;Closed
issue;issue hi please help solve issue face with when trying save newly created opportunity get message there unsaved changes keep until message disappears but ends by having save opportunity created several times same issue with below opportunity only way solve issue was close one opportunity but correct for closed one appear customer rejected please let have your deleting unnecessary opportunities for underwriter portal test opportunity should remain one corresponding below link opportunity id containing forecast overview thanks;26/12/2022 17:30;Resolved
change fatal error values;change fatal error values hello please change fatal error kind regards leader mobile wednesday change fatal error values please ensure survey score updates thank wednesday change fatal error values hello please change surveys these tickets fatal errors kind regards analyst mobile;26/12/2022 18:00;Closed
re following up on requests;re requests hi approved member please make well his secure area thank thursday pm requests hello please advise re him his rights please note granted log also arrives make modifications well kind regards analyst ext hub thursday pm requests hello getting back regarding two requests placed yesterday updates matter raw estimation thank kindly;26/12/2022 18:30;Closed
oracle error;sent wednesday error hi when trying save timecard for st july get error below same happens for any colleagues can you please advise asap given end month we need close for july order send invoice thanks manager;26/12/2022 19:00;Resolved
upgrade zephyr for and;upgrade zephyr dear please upgrade zephyr release zephyr release release notes found zephyr release notes during upgrade ensure loose zephyr zephyr by user according release notes upgrade required required please questions please thanks test lead;26/12/2022 19:30;On-Progress
new starter oracle;specialist ext hub thursday pm importance high hi starts along proceed rehire interns accounts please keep forms updated well forms attached best regards;26/12/2022 20:00;On-Progress
need help testing a device to;help testing device hello please log help testing device meeting room test resolving thank profile;26/12/2022 20:30;On-Progress
line manager change;change dear required change he further reports instead thanks client id bb;26/12/2022 21:00;On-Progress
monitor keyboard headphones request;tuesday pm periphery dear please provide additional monitor keyboard headphones work thanks kind regards engineer;26/12/2022 21:30;On-Progress
